audio_path,Inference_result
st_set3_collectorgs237_speakergs3725_4_9.wav,마을 모숨구는 날에는 사람들이 같이 이게저게 다니면서 품마이를 함니더
st_set3_collectorgs233_speakergs11439_0_7.wav,친정 동네하고 이 동네하고 차리례 지낼 때 생 채리는 뭐가 다름니껴
st_set3_collectorgs233_speakergs11630_0_8.wav,친정 동네하고 이 동네하고 차례 지낼 때 지 때 상 채리는 건 뭐가 다릅니까
st_set3_collectorgs233_speakergs4414_104_9.wav,우리 메누리는 자슥들 잘 챙기고 차캐가 내가 얼마나 자랑을 하고 댕긴다꼬
st_set3_collectorgs233_speakergs4414_105_9.wav,배아레 포기 키우는 것도 이러쿠럼 힘든디 어무이먼는 우예 평생 농를 짓고 사라쓸꼬
st_set3_collectorgs233_speakergs4414_106_6.wav,비가 줄도 모르고 세차를 하루 종일 열심히 했는데 완저이 고떼이
st_set3_collectorgs233_speakergs4414_107_8.wav,오새는 시워리 좋다만 우리 클 때는 하고 싶은 것도 몬하고 골무리 많았다
st_set3_collectorgs233_speakergs4414_108_11.wav,전화를 하고 싶었는데 얘기하는 중간에 전화하러 나 나오기가 어려워가 집에 전화 모탠니더
st_set3_collectorgs233_speakergs4414_109_10.wav,어무이 지금 차 타고 자 나갈라꼬 하는디 혹시 읍내로 나가시면 워 태워드릴게예
st_set3_collectorgs237_speakergs3725_0_8.wav,친 정 동네하고 동네하고 차리 지낼 때 상 채리는 건 뭐가 다름니껴
st_set3_collectorgs237_speakergs3725_100_9.wav,촌구수기라 젊은 사람은 함부레 없고 전부 인들만 잇쓰니꺼네 농사 짓기도 힘들어
st_set3_collectorgs237_speakergs3725_101_8.wav,소도 맨치 잘 먹어야 근육도 붙고 심도 생겨서 일 잘 잘하지로
st_set3_collectorgs237_speakergs3725_102_8.wav,오까 짜를 때는 미리 선을 그어 놓아야 쪽리 잘 자지 수 이써요
st_set3_collectorgs237_speakergs3725_103_8.wav,올해는 배치 농사 김장을 할라믄 배치를 좀 사와야 담궈야 데겐네
st_set3_collectorgs237_speakergs3725_104_8.wav,어 자식들 잘 챙기고 착캐가 내가 얼나 자랑을 하고 댕긴다고
st_set3_collectorgs237_speakergs3725_105_10.wav,배치 한 포기 키우는 것도 이러쿠럼 힘든 어무이는 우예 농지를 농새 짓고 살시어라
st_set3_collectorgs237_speakergs3725_106_8.wav,어가 모르고 세차를 종일 열심히 는디 완저이 헛고든다이
