audio_path,Inference_result
st_set3_collectorgs195_speakergs1277_100_11.wav, 총구석이라 젊은 사람은 함부로 없고 전부 노인들만 있으니까 농사짓기도 힘들어
st_set3_collectorgs195_speakergs1277_101_9.wav, 소도 사람 면치로 잘 먹어야 근육도 붙고 심도 생겨서 일을 잘 하지롱.
st_set3_collectorgs195_speakergs1277_102_11.wav, 호카십을 자를 때는 미리 선을 끊어 놓아야 쪽발이 잘 자를 수 있어요
st_set3_collectorgs195_speakergs1277_103_11.wav, 올해는 배추 농사를 망우가 짐장을 하려면 배추를 좀 사와야 당겨야 하겠네
st_set3_collectorgs195_speakergs1277_105_10.wav, 배채 한 포기 키우는 것도 이렇게럼 힘든데 어머니는 왜 평생 농사를 짓고 살았을라?
st_set3_collectorgs195_speakergs1277_106_11.wav, 비가 올 줄도 모르고 세차를 하루 종일 열심히 캤는데 완전히 허수고했다.
st_set3_collectorgs195_speakergs1277_107_11.wav, 5세는 시월이 좋다만 우리 클 때는 하고 싶은 것도 못하고 골물이 많아서
st_set3_collectorgs195_speakergs1277_108_12.wav, 전화를 하고 싶었는데 얘기하는 중간에 전화하러 나오기가 어지러워서 집에 전화를 못했습니다.
st_set3_collectorgs195_speakergs1277_109_10.wav, 어머니 지금 차타고 나가려고 하는데 혹시 엄내로 나가시면 태워드릴께요
st_set3_collectorgs195_speakergs1277_67_9.wav, 오늘 비올 것 같으니까 우산 챙겨갖고 이제 삐지 말고 단디 챙겨가 온나
st_set3_collectorgs195_speakergs1277_68_9.wav, 여기는 종구석이라 방원에 가려고 하면 차를 타고 한참을 나가야 되니더
st_set3_collectorgs195_speakergs1277_69_11.wav, 가족들이 해돋이 보면서 새해 다짐도 하고 소원도 빌고 올랐고 해요
st_set3_collectorgs195_speakergs1277_70_11.wav, 알라가 어제부터 열이 안 떨어지는데 이러다 큰일 나는지 아닌지 모르겠다.
st_set3_collectorgs195_speakergs1277_71_9.wav, 코피가 안 멈추고 이렇게 계속 나만 병원에 가봐야 하는 거 아인교?
st_set3_collectorgs195_speakergs1277_72_10.wav, 어제는 애물도 많이 하지만 옛날에 우리 결혼할 때는 생각도 못했니더
st_set3_collectorgs195_speakergs1277_73_9.wav, 겨울에는 주적삼환에 소개뭉치를 넣고 꼬매가 입습니다
st_set3_collectorgs195_speakergs1277_75_10.wav, 이붓이 좀 시끄러워도 사이가 불편해질까봐 고마 참고 살압니다
st_set3_collectorgs195_speakergs1277_76_10.wav, 지난주에 상초도 숨겨놓았으니 4월 초쯤 되면 먹을 수 있을 겁니다
st_set3_collectorgs195_speakergs1277_77_11.wav, 여기는 시골이라 교통이 좀 불편한데 공기도 깨끗하고 경치가 참 좋아요
st_set3_collectorgs195_speakergs1277_78_12.wav, 시라기를 세입기에 염따서 말려 놨다가 나중에 굽거릴때 염가 먹으면 맛있어요
st_set3_collectorgs195_speakergs1277_79_8.wav, 돼지 잡을 때는 어른이 열어 붙어야지 안그러면 힘들어가 못잡니다
st_set3_collectorgs195_speakergs1277_81_10.wav, 비가 많이 오면 축대부터 살피고 위험하다 싶으면 버뜩 집에서 나와야 합니다.
st_set3_collectorgs195_speakergs1277_82_8.wav, 운동을 안하면 좋은 약을 많이 먹어도 아무 소양이 없습니다.
st_set3_collectorgs195_speakergs1277_84_8.wav, 어릴 때 학교는 못 가고 풀비로 가고 소풀미기로 다니고 그랬니더.
st_set3_collectorgs195_speakergs1277_85_9.wav, 여름철에는 모든 음식을 잘 익혀먹고 물도 꼭 끓인것만 드셔야 돼요
st_set3_collectorgs195_speakergs1277_86_9.wav, 모기향을 피우면 하지에 위험이 있으니 모구장을 쳐놓고 주무시는게 좋아요
st_set3_collectorgs195_speakergs1277_87_11.wav, 엘리베이터에 가두기만 우러부러 나오려고 하지 말고 비상배를 누질러서 도움을 청하이소.
st_set3_collectorgs195_speakergs1277_88_11.wav, 스님이 시주하러 오면 많이는 못 드려도 쌀을 조금씩 담아드리고 그랬습니다.
st_set3_collectorgs195_speakergs1277_89_10.wav, 일을 잘 할 수 있으면 지가 맡아서 하든지 아니면 당신이 노가리는 하지 말아야지롱.
st_set3_collectorgs195_speakergs1277_90_10.wav, 우리 메누리는 농사 일은 잘 못해도 청소 하나는 정강시럽으로 잘 하니더
st_set3_collectorgs195_speakergs1277_91_10.wav, 점심때 돌잔치 가가 어디나 많이 먹었는지 배불러서 저녁을 못 먹겠어요
st_set3_collectorgs195_speakergs1277_92_10.wav, 처음에는 형한테 화가 많이 났었는데 이야기를 듣다보니까 이해가 되더라구요.
st_set3_collectorgs195_speakergs1277_93_11.wav, 산비는 하루 저녁에만 많이 짜는데 맹주는 촘촘해가 암만 짜도 많이 못 짜요
st_set3_collectorgs195_speakergs1277_94_9.wav, 가스레인지에 불 켜놓은걸 잊어버려서 음식을 막 갓 태울 뻔 했습니다
st_set3_collectorgs195_speakergs1277_95_10.wav, 오랫동안 한동네에서 살았던 할머니인데 돌아가시니까 내 마음이 아프네요
st_set3_collectorgs195_speakergs1277_96_9.wav, 혈압약은 시간을 맞춰서 챙겨 드셔야지 안그러면 효과가 없습니다
st_set3_collectorgs195_speakergs1277_97_9.wav, 집에 돌아와 보이건에 문이 열려있고 빼다지에 여 둔 돈이 전부 없어집니다.
st_set3_collectorgs195_speakergs1277_98_11.wav, 아들 오늘 중요한 시험 보이거네. 이 생렷하고 찹쌀떡 먹고 심내서 시험 잘 봐래이.
st_set3_collectorgs195_speakergs1277_99_9.wav, 옛날부턴 조상꿈이나 돼지꿈꾸만 집에 돈 들어온다고 좋아했지롱
st_set3_collectorgs195_speakergs1320_0_9.wav, 김정 동네하고 이 동네하고 차례 지낼 때 상 차리는 건 뭐가 다릅니까?
st_set3_collectorgs195_speakergs1320_10_7.wav, 어깨가 뻐근한데 얼음 뜸질 좀 하고 냉장고에 얼음 좀 꺼내 두라이 꺼내 두라이
st_set3_collectorgs195_speakergs1320_11_9.wav, 마당이 계속 관리해야지 안그러면 금새 잡초가 자라서 엉망이 돼요
st_set3_collectorgs195_speakergs1320_12_8.wav, 옛날에는 먹을 거 없었을 거네. 겨울에 고드름도 맛있다고 다 먹고 그랬지롱.
st_set3_collectorgs195_speakergs1320_13_8.wav," 지사를 안 모실 것 같으면 모르지만, 지사를 모실 것 같으면 정성을 들여야 합니다."
st_set3_collectorgs195_speakergs1320_14_8.wav, 별로 크지 않으니깐 카베추보다는 상추같은걸 숨기는게 좋겠습니다
st_set3_collectorgs195_speakergs1320_15_7.wav, 옛날에는 혼자 짐장을 했는데 요즘은 힘들어서 동네 사람들하고 같이 합니다.
st_set3_collectorgs195_speakergs1320_16_7.wav, 산에 가서 조금만 당겨보면 지팽이 만들 좋은 나무가 천지빛깔이 됩니다.
st_set3_collectorgs195_speakergs1320_17_7.wav, 다리도 아프고 날이 뜨거우니깐 저기 거릉 뒤에서 잠시 휘었다 갑시다
st_set3_collectorgs195_speakergs1320_18_9.wav, 도록개가 꽤나 무거워서 허리 다칠 수 있으니까네 타작 털때 살살 두드리래
st_set3_collectorgs195_speakergs1320_19_9.wav, 옛날에는 특별한 간식이 없었으니까 옥수수깡이나 감자 같은 걸 먹고 그랬더니더
st_set3_collectorgs195_speakergs1320_1_7.wav, 두가지로 썰나무는 또 갈라가지고 저쪽 담장 밑에 쌓아두면 됩니다
st_set3_collectorgs195_speakergs1320_20_7.wav, 여기까지 오시느라 욕봤는디 시원한 냉수부통 한 잔 더 있어
st_set3_collectorgs195_speakergs1320_21_9.wav, 지진이 일나면은 언덕 책상 밑으로 들어가 멈출 때까지 지달려야 합니다.
st_set3_collectorgs195_speakergs1320_22_8.wav, 요새 날씨가 가물어서 농사도 못 짓고 계속 집에만 있으니까 정말 답답하네
st_set3_collectorgs195_speakergs1320_23_7.wav, 오랜만에 가족끼리 외식 한번 하고자 하는데 그것도 못하면은 어떻게 하는 거야?
st_set3_collectorgs195_speakergs1320_24_7.wav, 새옷 입으니까 사람이 달라 비는데 처음부터 내가 옷 좀 사입으라고 안하더나
st_set3_collectorgs195_speakergs1320_25_8.wav, 처음 시집 왔을 때 생신국을 보고 이거 비린내가 나서 왜 먹을지 걱정했니더
