audio_path,Inference_result
st_set3_collectorgs237_speakergs3725_4_9.wav,마을 모숨구는 날에는 사람들이 같이 이게저게 다니면서 품마이를 함니더
st_set3_collectorgs233_speakergs11439_0_7.wav,친정 동네하고 이 동네하고 차례 지낼 때 채리는 뭐가 다름니껴
st_set3_collectorgs233_speakergs11630_0_8.wav,친리하정 동네하고 이고 동네하고 차례 지낼 때 채리는 건 뭐가 다릅니까
st_set3_collectorgs233_speakergs4414_104_9.wav,우리 메느누리는 자식들 잘 챙기고 가 캐가 얼마나 자랑을 하고 댕긴다.
st_set3_collectorgs233_speakergs4414_105_9.wav,배치 한 키우는 것도 이러코 힘든디 어우러래먼는 우예 평생 고 농새를 짓고 살았니까
st_set3_collectorgs233_speakergs4414_106_6.wav,비가 올 줄도 모르고 세차를 종루종일 열심히 완저히 고떼
st_set3_collectorgs233_speakergs4414_107_8.wav,오새는 시워리 좋다만 우리 클 때는 하고 싶은 것도 고 골무리 많았다
st_set3_collectorgs233_speakergs4414_108_11.wav,전화를 하고 시었는 얘기하는 중간에 전화하러 나오 나오가 어려가 집에 전화 못했니더
st_set3_collectorgs233_speakergs4414_109_10.wav,어분이 지금 차 타고 자 나갈라꼬 하는디 혹시 읍내로 나가만 태워 드라예
st_set3_collectorgs237_speakergs3725_0_8.wav,친정리정 동네하고 이 동네하고 차례리 지낼 때 상 채리는 건 뭐가 다름니껴
st_set3_collectorgs237_speakergs3725_100_9.wav,촌구이라 젊은 사람은 한부레 없고 전부 노인들만 이쓰니꺼네 농사 짓기도 힘들어
st_set3_collectorgs237_speakergs3725_101_8.wav,도 사람 맨치로 잘 먹어야 근육도 고 심도 생겨서 일 잘 하지로
st_set3_collectorgs237_speakergs3725_102_8.wav,아씨가 짜를 때는 미리 있선을 끄어 놓아야 쪽이 잘 자지 수 이써예
st_set3_collectorgs237_speakergs3725_103_8.wav,올어니 배치 구치 짐장을 배치를 좀 와 들궈야 데네
st_set3_collectorgs237_speakergs3725_104_8.wav,우리 자식들 잘 기 착해가 내가 얼장 을 하 하고 댕긴다고
st_set3_collectorgs237_speakergs3725_105_10.wav,배치 포기 키지우는 것도 이어쿠럼 었도 든 이꺼네 우기 평생 농새도 짓 사어라
