id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,2205305
4,이,215749
5,어,183321
6,가,141018
7,는,132996
8,아,110602
9,에,108065
10,지,102156
11,고,97409
12,해,94647
13,나,90946
14,그,79461
15,하,76573
16,요,76391
17,다,75893
18,거,75438
19,게,73889
20,도,70084
21,줘,66885
22,서,66192
23,기,64956
24,리,60812
25,있,59409
26,야,57649
27,니,52519
28,주,51023
29,로,50150
30,시,48649
31,면,47854
32,사,45628
33,은,45500
34,내,45140
35,한,42381
36,을,42256
37,오,41342
38,라,40098
39,데,39910
40,보,39661
41,들,39615
42,수,39118
43,제,38203
44,래,38026
45,일,37520
46,마,37109
47,자,37059
48,려,36112
49,안,35102
50,으,34222
51,알,33620
52,까,33615
53,우,32726
54,생,27376
55,만,26285
56,할,25340
57,부,25221
58,동,25080
59,여,24931
60,무,23509
61,먹,22646
62,영,22155
63,대,22078
64,디,21971
65,인,21774
66,를,21515
67,금,21153
68,간,20936
69,번,20673
70,구,20265
71,화,20220
72,장,19956
73,저,19472
74,원,19102
75,러,19045
76,스,18889
77,난,18794
78,뭐,18556
79,말,18551
80,진,18340
81,전,18203
82,상,17947
83,엄,17723
84,때,17286
85,좋,17205
86,랑,17099
87,비,17060
88,예,16827
89,너,16485
90,늘,16416
91,정,16407
92,물,16352
93,세,16317
94,봐,16037
95,돼,15847
96,같,15834
97,네,15786
98,좀,15296
99,었,15078
100,신,14920
101,더,14900
102,줄,14636
103,문,14388
104,치,14134
105,람,13974
106,음,13927
107,모,13847
108,되,13687
109,잘,13651
110,집,13543
111,소,13233
112,선,13134
113,것,12931
114,했,12923
115,날,12870
116,공,12840
117,싶,12779
118,노,12686
119,방,12513
120,와,12379
121,겠,12251
122,드,11959
123,바,11919
124,테,11809
125,실,11594
126,학,11519
127,허,11490
128,빠,11407
129,건,11071
130,트,10839
131,님,10788
132,많,10585
133,차,10487
134,경,10430
135,달,10255
136,워,10156
137,식,10104
138,위,10076
139,르,9828
140,행,9751
141,없,9709
142,버,9705
143,몇,9679
144,의,9644
145,걸,9640
146,운,9610
147,강,9501
148,약,9500
149,머,9498
150,런,9496
151,과,9459
152,불,9373
153,막,9201
154,배,9188
155,못,9032
156,잖,8953
157,조,8948
158,터,8881
159,미,8813
160,호,8797
161,살,8718
162,렇,8648
163,개,8532
164,교,8493
165,언,8473
166,심,8289
167,근,7994
168,파,7993
169,또,7953
170,놀,7831
171,두,7718
172,료,7694
173,크,7560
174,점,7553
175,메,7551
176,산,7410
177,았,7405
178,얼,7364
179,찾,7325
180,올,7268
181,분,7263
182,맞,7212
183,준,7176
184,당,7085
185,직,7018
186,유,6932
187,재,6842
188,져,6802
189,탁,6797
190,빨,6669
191,찍,6662
192,연,6637
193,갔,6635
194,왔,6622
195,울,6598
196,양,6530
197,열,6369
198,틀,6349
199,십,6344
200,떻,6341
201,출,6284
202,추,6259
203,색,6225
204,계,6215
205,속,6168
206,린,6159
207,타,6106
208,처,6106
209,청,6101
210,갈,6046
211,림,6028
212,단,5990
213,각,5924
214,중,5902
215,용,5854
216,레,5853
217,관,5796
218,새,5791
219,볼,5766
220,든,5737
221,냥,5712
222,켜,5660
223,확,5643
224,작,5612
225,누,5608
226,발,5581
227,매,5519
228,통,5512
229,티,5460
230,설,5449
231,업,5414
232,삼,5402
233,친,5362
234,받,5310
235,민,5303
236,맛,5283
237,카,5260
238,책,5242
239,외,5236
240,피,5222
241,표,5170
242,국,5154
243,멍,5097
244,짜,5061
245,명,5023
246,애,5019
247,남,5004
248,프,4943
249,겨,4871
250,른,4869
251,회,4866
252,히,4814
253,입,4794
254,뉴,4739
255,돌,4696
256,체,4686
257,임,4625
258,길,4538
259,반,4519
260,감,4504
261,않,4488
262,읽,4480
263,온,4436
264,형,4428
265,숙,4400
266,혼,4385
267,던,4385
268,키,4373
269,적,4372
270,목,4363
271,질,4272
272,검,4248
273,떤,4185
274,록,4169
275,브,4093
276,밥,4090
277,코,4056
278,씨,4024
279,손,4003
280,왜,3980
281,습,3949
282,럼,3913
283,년,3907
284,등,3845
285,따,3795
286,된,3791
287,름,3783
288,넣,3778
289,역,3741
290,성,3686
291,천,3648
292,항,3623
293,봤,3614
294,잡,3588
295,느,3584
296,철,3583
297,초,3548
298,끝,3486
299,백,3469
300,육,3441
301,병,3417
302,곳,3417
303,얘,3410
304,슨,3410
305,결,3361
306,술,3357
307,났,3341
308,궁,3327
309,돈,3309
310,급,3302
311,복,3286
312,겅,3249
313,냐,3236
314,월,3235
315,필,3210
316,쓰,3208
317,토,3199
318,족,3174
319,후,3129
320,눈,3124
321,본,3118
322,믄,3102
323,편,3087
324,답,3023
325,김,3016
326,루,3001
