audio_path,Korean_transcript
st_set3_collectorgs233_speakergs4169_97_7.wav,집에 도라와보니께 문이 열려 있고 빼다지에 넣어둔 돈이 전부 업써져떼이
st_set3_collectorgs185_speakergs2957_9_5.wav,겨울에 먹을 채소나 과일 같은 거는 어데 보관을 햄미까
st_set3_collectorgs184_speakergs1538_41_9.wav,자식들 때미네 열심히 사란는디 인자 자식들이 이러쿠럼 날 챙겨주끼니 고맙지요
st_set3_collectorgs161_speakergs963_58_8.wav,자식들 서울에서 직장 댕기는데 바빠서 연락은 잘 못해도 잘 있지 않겠습니까
st_set3_collectorgs212_speakergs2419_47_9.wav,된장국 끼리고 호박빱 해가 양념장으로 비비 무만 달싸칸 게 마신니더
st_set3_collectorgs233_speakergs2008_31_14.wav,나이가 드니께 귀끼가 어두워져가 사람들이 무신 말을 해도 잘 못 아라든는디
st_set3_collectorgs188_speakergs1262_103_11.wav,올해는 배치 농사를 망해가 짐장을 할라면 배치를 좀 사 와가 담궈야 되겠네
st_set3_collectorgs233_speakergs2656_96_13.wav,혈압약은 시간을 마춰가 챙겨 드셔야지 안 그라모 못 호까가 업씀니다이
st_set3_collectorgs188_speakergs2855_109_9.wav,어머니 지금 차 타고 자 나가라고 하는디 혹시 읍내로 나가시면 태워 드릴 꺼예
st_set3_collectorgs188_speakergs1262_37_9.wav,배미에 물리면 병원에 가야지 덴장 같은 것 거튼 거 마음대로 바르면 큰일 납니다
st_set3_collectorgs219_speakergs2399_42_9.wav,태풍 때문에 바래미 시게 불어끼네 산사태가 날까봐 잠을 한숨도 못 잗니더
st_set3_collectorgs183_speakergs1936_52_8.wav,윤디를 화로에 올려 놓고 뜨겁꾸로 달궈가 윤디지를 핻찌로
st_set3_collectorgs233_speakergs3074_7_7.wav,방에 가래떡 하고 술을 차려 놓았으니까 편하게 드시면서 말씀 나누시오
st_set3_collectorgs164_speakergs1418_20_9.wav,요개까정 오느라 욕 봔는디 시운한 냉수부텀 한 잔 드시 드시이소
st_set3_collectorgs183_speakergs4142_81_7.wav,비가 많이 오만 축대부터 살피고 위험하다 싶으면 퍼뜩 집에서 나와야 함니더
st_set3_collectorgs161_speakergs1066_100_10.wav,촌꾸수기라 젊은 사람들은 함부레 없고 전부 노인들만 이쓰이꺼네 농사 짓기가 힘들어요
st_set3_collectorgs233_speakergs3263_61_8.wav,이 구두는 신은 지가 5년이 지나니까네 굽이 다 달아가지고 그리고 인자는 내뻐려야 버려야 되겠다
st_set3_collectorgs185_speakergs3651_21_6.wav,지진이 일나먼 퍼뜩 책상 밑에 드러가가 멈출 때까지 기다려야 함니데이
st_set3_collectorgs212_speakergs1976_80_8.wav,빨리 무그만 과식하게 되이꺼네 배고파도 찬찬히 드시는 기 조씀니더
st_set3_collectorgs233_speakergs2656_86_13.wav,모기향을 피우면 화재의 위험이 이쓰니까네 모구장을 쳐 놓고 주무시는 기 조아예
st_set3_collectorgs204_speakergs2275_40_12.wav,콘센트에 코드를 너무 많이 꼬브만 불이 날 수 이쓰이께네 정말 위험함니대이
st_set3_collectorgs161_speakergs1066_63_7.wav,나물 무칠 때는 간을 간간하게 잘 맞추어야지 안 그러면 쓴맛이 나서 안 데
st_set3_collectorgs185_speakergs4167_1_7.wav,둥가지로 쓸 나무는 또갈라가 저쪼 담장 밑에 쌓아 두만 뎀니데이
