audio_path,Inference_result
st_set3_collectorgs237_speakergs3725_4_9.wav, 마을 모승구는 날에는 사람들이 같이 이겨주겠다니면서 부마일을 합니다.
st_set3_collectorgs233_speakergs11439_0_7.wav, 신정독려하고 이독려하고 차례 지낼 때 생체는 뭐가 다르니껴?
st_set3_collectorgs233_speakergs11630_0_8.wav, 친정 동네하고 이 동네하고 차례 지낼 때 상처리는 건 뭐가 다릅니까?
st_set3_collectorgs233_speakergs4414_104_9.wav, 우리 메누리는 자식들 잘 챙기고 착해가 내가 얼마나 자랑하고 댕긴다고
st_set3_collectorgs233_speakergs4414_105_9.wav, 배치 한 포기 키우는 것도 이렇게 힘든데 우리 어머니는 위해 평생 농사를 짓고 살았었고
st_set3_collectorgs233_speakergs4414_106_6.wav, 비가 올 줄도 모르고 세차를 하루 종일 열심히 했는데 완전히 허수고했대요.
st_set3_collectorgs233_speakergs4414_107_8.wav, 어제는 시월이 좋다만 우리 클 때는 하고 싶은 것도 못하고 골물이 많았다.
st_set3_collectorgs233_speakergs4414_108_11.wav, 전화를 하고 싶었는데 얘기하는 중간에 전화를 하러 나오기가 어려워서 집에 전화를 못했습니다.
st_set3_collectorgs233_speakergs4414_109_10.wav, 어머니 지금 차타고 자 나가려고 하는데 혹시 음료로 나갔으면 태워 드릴께요
st_set3_collectorgs237_speakergs3725_0_8.wav, 진정 동네하고 이 동네하고 찰리 지낼때 상처리는 건 뭔가 다르니껴?
st_set3_collectorgs237_speakergs3725_100_9.wav, 촌구석이라 젊은 사람은 함부로 없고 전부 노인만 있으니까 농사 지키도 힘들어
st_set3_collectorgs237_speakergs3725_101_8.wav," 소도 사람 면치러 잘 먹어야 근육도 붙고, 심도 생겨서 일 잘 하지롱."
st_set3_collectorgs237_speakergs3725_102_8.wav, 가심을 자를 때는 미리 선을 그어 놓아야 적발이 잘 자를 수 있어요.
st_set3_collectorgs237_speakergs3725_103_8.wav, 배추 농시에 망하고 심장할려면 배추를 좀 사와야 당겨야 되겠네
st_set3_collectorgs237_speakergs3725_104_8.wav, 우리 며느리 자식들 잘 챙기고 착해가 내가 얼마나 자랑을 하고 땡긴다고
st_set3_collectorgs237_speakergs3725_105_10.wav," 대치 한 폭에 키우는 것도 이렇구름 힘든디, 어머니는 그의 평생 농세를 짓고 살았슬라."
st_set3_collectorgs237_speakergs3725_106_8.wav, 제가 올 줄도 모르고 세차를 하루 종일 열심히 했는데 완전히 헛수고했다.
st_set3_collectorgs237_speakergs3725_107_8.wav, 도시에는 세월이 좋다만 우리 클때는 하고 싶은 것도 못하고 골목이 많더라
st_set3_collectorgs237_speakergs3725_108_10.wav, 전화를 하고 싶었는데 얘기하는 중간에 전화하러 나오기가 어려워가 집에 전화 못했습니다.
st_set3_collectorgs237_speakergs3725_109_9.wav, 어머니 지금 차타고 나가려고 하는데 혹시 읍내로 나가시면 태워 드릴 거에요
st_set3_collectorgs237_speakergs3725_10_8.wav, 어깨가 뻐근한데 얼음 뜸질 좀 하구로 냉장고에 얼음 좀 꺼내 도래이
st_set3_collectorgs237_speakergs3725_11_8.wav, 마다를 계속 관리해야지 안그러면 금세 자래가 엉망이 되요.
st_set3_collectorgs237_speakergs3725_12_9.wav, 옛날에는 먹을 것이 없으니깐 겨울에 고두름도 맛있다고 안 먹고 그랬지요.
st_set3_collectorgs237_speakergs3725_13_10.wav," 지사를 안 모실 것 같으면 모르지만, 지사를 모실 것 같으면 정성을 들어야 한다니더"
st_set3_collectorgs237_speakergs3725_14_11.wav, 밭이 별로 크지 않을 거니 카배추보다는 상초 같은 걸 숨는 것이 좋겠니더.
st_set3_collectorgs237_speakergs3725_15_8.wav, 옛날에는 혼자 짐작했는데 요즘은 힘들어 동네 사람들하고 끝이 갑니다
st_set3_collectorgs237_speakergs3725_16_8.wav, 산에 가서 조금만 댕겨보면 지팽이 만들기 좋은 나무가 천지 빛깔이시더
st_set3_collectorgs237_speakergs3725_17_9.wav, 다리도 아프고 날이 뜨거우니 저기 거릉지에서 잠시 쉬었다가 갑시다.
st_set3_collectorgs237_speakergs3725_18_11.wav, 어릴 때가 꽤나 무거우니까 허리 다칠 수 있으니까네 타자 들 때 사살 두드리래이
st_set3_collectorgs237_speakergs3725_19_10.wav, 옛날에는 특별한 간식이 없으니 꺼내 옥수깽이나 잠자 같은 걸 먹고 그랬니더
st_set3_collectorgs237_speakergs3725_1_7.wav, 분가지로 쓸 나무는 또 갈라가 저쪽 담장 밑에 사두면 됩니다.
st_set3_collectorgs237_speakergs3725_20_7.wav, 가정 오시느라 욕받는 뒤 시원한 냉수부턴 한잔 드시소.
st_set3_collectorgs237_speakergs3725_21_10.wav, 지진이 일어나면 언뜻 책상 밑으로 들어가 멈출 때까지 기다려야 합니다.
st_set3_collectorgs237_speakergs3725_22_8.wav, 요새 날씨가 가물어 농사도 못 짓고 계속 집에만 있으니까네 정말 답답네
st_set3_collectorgs237_speakergs3725_23_8.wav, 오랜만에 가족끼리 외식 한번 하자고 하는디 그것도 모나만 우야는교?
st_set3_collectorgs237_speakergs3725_24_9.wav, 새 옷 입으니 끈에 사람이 달라비는 뒤 전부턴 내가 옷 좀 사 입으라 안 하더나
st_set3_collectorgs237_speakergs3725_25_9.wav, 처음 시집 왔을 때 생선국을 보고 이거 비린내가 나가 왜 먹을지 걱정했는데
st_set3_collectorgs237_speakergs3725_26_9.wav, 밀감이 너무 시그러워서 못 먹겠는데 냉장고에 다른 과일 있으면 좀 내올래?
st_set3_collectorgs237_speakergs3725_27_9.wav, 오랜만에 조캐를 보이그네 못 알아볼 정도로 훌쩍 그 삐리가 깜짝 놀랬데이.
st_set3_collectorgs237_speakergs3725_28_8.wav, 수술비가 한두 푼 아닌데 갑자기 돈 입하고 하면 어쩌라는 말이고
st_set3_collectorgs237_speakergs3725_29_8.wav, 추석 때 차례 지내면서 조상한테 감사하다고 인사를 잘해야 된데요.
st_set3_collectorgs237_speakergs3725_2_6.wav, 수박은 큰 게 맛있다고 하는디 참외는 작은 게 맛있는 겨
st_set3_collectorgs237_speakergs3725_30_11.wav, 엉덩이에 살미치 다 벗겨졌는디 연고를 바르니끄니 희한하구로 금방 깔아앗네요.
st_set3_collectorgs237_speakergs3725_31_10.wav, 나이가 되이끄네 기기가 어두워져가 사람들이 무슨 말을 해도 잘 못 알아듣겠니더.
st_set3_collectorgs237_speakergs3725_32_10.wav, 우리 아버님께서 옷차려입고 나가시면 사람들이 가다재이라고 많이 말씀하셨니다.
st_set3_collectorgs237_speakergs3725_33_10.wav, 애놈들이 살을 다 뺏길러 가삐리서 없으니까네 맨날 꽁당버리밥 밖에 못 먹었지로.
st_set3_collectorgs237_speakergs3725_34_10.wav, 체덕에 근래만 얼굴이 노랗게 돼가지고 바람이 기운이 하나도 없어 비니더
st_set3_collectorgs237_speakergs3725_35_9.wav, 애지 머리 갖다 놓고 구판 벌리면 동네 사람들 쭉 와가 귀경도 하고 그랬습니다
st_set3_collectorgs237_speakergs3725_36_9.wav, 너머의 무시 구디가 어딘지 아는 사람들은 다른 집 무시를 빼가기도 했지로.
st_set3_collectorgs237_speakergs3725_37_9.wav, 세미에 물리면 병원에 가야지 된장 같은 그 마음대로 바르면 큰일 납니다
